NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v1.9.14.12,c39c68d240190277f9d8c4157e01d59a69280d0c,Wed Mar 10 05:07:39 CET 2021,tinker,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.04. All the dependencies among components: from: com.tencent.tinker.android.dex to: com.tencent.tinker.android.dex.util; from: com.tencent.tinker.android.dex to: com.tencent.tinker.android.dx.util; from: com.tencent.tinker.android.dex.io to: com.tencent.tinker.android.dex; from: com.tencent.tinker.android.dex.io to: com.tencent.tinker.android.dex.util; from: com.tencent.tinker.android.dx.instruction to: com.tencent.tinker.android.utils; from: com.tencent.tinker.android.dx.instruction to: com.tencent.tinker.android.dx.util; from: com.tencent.tinker.android.dx.instruction to: com.tencent.tinker.android.dex.util; from: com.tencent.tinker.lib.patch to: com.tencent.tinker.lib.service; from: com.tencent.tinker.lib.patch to: com.tencent.tinker.lib.tinker; from: com.tencent.tinker.lib.patch to: com.tencent.tinker.loader.shareutil; from: com.tencent.tinker.lib.patch to: com.tencent.tinker.commons.util; from: com.tencent.tinker.lib.patch to: com.tencent.tinker.bsdiff; from: com.tencent.tinker.lib.patch to: com.tencent.tinker.ziputils.ziputil; from: com.tencent.tinker.lib.patch to: com.tencent.tinker.loader.app; from: com.tencent.tinker.lib.patch to: com.tencent.tinker.loader; from: com.tencent.tinker.lib.patch to: com.tencent.tinker.lib.util; from: com.tencent.tinker.entry to: com.tencent.tinker.loader.shareutil; from: com.tencent.tinker.lib.library to: com.tencent.tinker.lib.tinker; from: com.tencent.tinker.lib.library to: com.tencent.tinker.entry; from: com.tencent.tinker.lib.library to: com.tencent.tinker.loader.shareutil; from: com.tencent.tinker.lib.listener to: com.tencent.tinker.lib.tinker; from: com.tencent.tinker.lib.listener to: com.tencent.tinker.loader.shareutil; from: com.tencent.tinker.lib.listener to: com.tencent.tinker.lib.service; from: com.tencent.tinker.lib.listener to: com.tencent.tinker.lib.util; from: com.tencent.tinker.lib.reporter to: com.tencent.tinker.lib.tinker; from: com.tencent.tinker.lib.reporter to: com.tencent.tinker.loader.shareutil; from: com.tencent.tinker.lib.reporter to: com.tencent.tinker.lib.util; from: com.tencent.tinker.lib.service to: com.tencent.tinker.loader.shareutil; from: com.tencent.tinker.lib.service to: com.tencent.tinker.lib.tinker; from: com.tencent.tinker.lib.service to: com.tencent.tinker.lib.util; from: com.tencent.tinker.lib.service to: com.tencent.tinker.lib.patch; from: com.tencent.tinker.lib.tinker to: com.tencent.tinker.lib.listener; from: com.tencent.tinker.lib.tinker to: com.tencent.tinker.lib.reporter; from: com.tencent.tinker.lib.tinker to: com.tencent.tinker.lib.patch; from: com.tencent.tinker.lib.tinker to: com.tencent.tinker.loader.shareutil; from: com.tencent.tinker.lib.tinker to: com.tencent.tinker.lib.service; from: com.tencent.tinker.lib.tinker to: com.tencent.tinker.lib.util; from: com.tencent.tinker.lib.tinker to: com.tencent.tinker.entry; from: com.tencent.tinker.lib.util to: com.tencent.tinker.loader.shareutil; from: com.tencent.tinker.lib.util to: com.tencent.tinker.lib.tinker; from: com.tencent.tinker.lib.util to: com.tencent.tinker.lib.service; from: com.tencent.tinker.lib.util to: com.tencent.tinker.commons.util; from: com.tencent.tinker.loader to: com.tencent.tinker.loader.app; from: com.tencent.tinker.loader to: com.tencent.tinker.loader.shareutil; from: com.tencent.tinker.loader to: com.tencent.tinker.loader.hotplug; from: com.tencent.tinker.loader.app to: com.tencent.tinker.loader.shareutil; from: com.tencent.tinker.loader.app to: com.tencent.tinker.entry; from: com.tencent.tinker.loader.hotplug to: com.tencent.tinker.loader.hotplug.interceptor; from: com.tencent.tinker.loader.hotplug to: com.tencent.tinker.loader.app; from: com.tencent.tinker.loader.hotplug to: com.tencent.tinker.loader.shareutil; from: com.tencent.tinker.loader.hotplug.handler to: com.tencent.tinker.loader.hotplug; from: com.tencent.tinker.loader.hotplug.handler to: com.tencent.tinker.loader.shareutil; from: com.tencent.tinker.loader.hotplug.handler to: com.tencent.tinker.loader.hotplug.interceptor; from: com.tencent.tinker.loader.hotplug.interceptor to: com.tencent.tinker.loader.shareutil; from: com.tencent.tinker.loader.hotplug.interceptor to: com.tencent.tinker.loader.hotplug; from: com.tencent.tinker.patch to: com.tencent.tinker.build.util; from: com.tencent.tinker.build.aapt to: com.tencent.tinker.commons.util; from: com.tencent.tinker.build.apkparser to: com.tencent.tinker.build.patch; from: com.tencent.tinker.build.apkparser to: com.tencent.tinker.commons.util; from: com.tencent.tinker.build.builder to: com.tencent.tinker.build.patch; from: com.tencent.tinker.build.builder to: com.tencent.tinker.build.util; from: com.tencent.tinker.build.builder to: com.tencent.tinker.commons.util; from: com.tencent.tinker.build.decoder to: com.tencent.tinker.build.patch; from: com.tencent.tinker.build.decoder to: com.tencent.tinker.build.util; from: com.tencent.tinker.build.decoder to: com.tencent.tinker.build.info; from: com.tencent.tinker.build.decoder to: com.tencent.tinker.bsdiff; from: com.tencent.tinker.build.decoder to: com.tencent.tinker.build.dexpatcher.util; from: com.tencent.tinker.build.decoder to: com.tencent.tinker.build.dexpatcher; from: com.tencent.tinker.build.decoder to: com.tencent.tinker.android.dex; from: com.tencent.tinker.build.decoder to: com.tencent.tinker.build.apkparser; from: com.tencent.tinker.build.dexpatcher.algorithms.diff to: com.tencent.tinker.android.dex; from: com.tencent.tinker.build.dexpatcher.algorithms.diff to: com.tencent.tinker.commons.dexpatcher.util; from: com.tencent.tinker.build.dexpatcher.algorithms.diff to: com.tencent.tinker.android.dex.io; from: com.tencent.tinker.build.dexpatcher.algorithms.diff to: com.tencent.tinker.commons.dexpatcher.struct; from: com.tencent.tinker.build.dexpatcher.algorithms.diff to: com.tencent.tinker.android.dex.util; from: com.tencent.tinker.build.dexpatcher to: com.tencent.tinker.android.dex; from: com.tencent.tinker.build.dexpatcher to: com.tencent.tinker.commons.dexpatcher; from: com.tencent.tinker.build.dexpatcher to: com.tencent.tinker.build.dexpatcher.algorithms.diff; from: com.tencent.tinker.build.dexpatcher to: com.tencent.tinker.commons.dexpatcher.util; from: com.tencent.tinker.build.dexpatcher to: com.tencent.tinker.android.dex.io; from: com.tencent.tinker.build.dexpatcher to: com.tencent.tinker.commons.dexpatcher.struct; from: com.tencent.tinker.build.dexpatcher to: com.tencent.tinker.build.dexpatcher.util; from: com.tencent.tinker.build.dexpatcher to: com.tencent.tinker.commons.util; from: com.tencent.tinker.build.dexpatcher.util to: com.tencent.tinker.commons.dexpatcher; from: com.tencent.tinker.build.dexpatcher.util to: com.tencent.tinker.android.dex; from: com.tencent.tinker.build.dexpatcher.util to: com.tencent.tinker.build.util; from: com.tencent.tinker.build.dexpatcher.util to: com.tencent.tinker.android.dx.instruction; from: com.tencent.tinker.build.info to: com.tencent.tinker.build.patch; from: com.tencent.tinker.build.info to: com.tencent.tinker.build.apkparser; from: com.tencent.tinker.build.info to: com.tencent.tinker.build.util; from: com.tencent.tinker.build.info to: com.tencent.tinker.commons.util; from: com.tencent.tinker.build.patch to: com.tencent.tinker.build.util; from: com.tencent.tinker.build.patch to: com.tencent.tinker.commons.util; from: com.tencent.tinker.build.patch to: com.tencent.tinker.build.decoder; from: com.tencent.tinker.build.patch to: com.tencent.tinker.build.info; from: com.tencent.tinker.build.patch to: com.tencent.tinker.build.builder; from: com.tencent.tinker.build.util to: com.tencent.tinker.commons.dexpatcher; from: com.tencent.tinker.build.util to: com.tencent.tinker.android.dex; from: com.tencent.tinker.build.util to: com.tencent.tinker.android.dx.instruction; from: com.tencent.tinker.build.util to: com.tencent.tinker.android.dex.io; from: com.tencent.tinker.build.util to: com.tencent.tinker.build.dexpatcher.util; from: com.tencent.tinker.build.util to: com.tencent.tinker.build.patch; from: com.tencent.tinker.build.util to: com.tencent.tinker.commons.util; from: com.tencent.tinker.build.util to: com.tencent.tinker.build.info; from: com.tencent.tinker.build.util to: com.tencent.tinker.ziputils.ziputil; from: com.tencent.tinker.build.util to: com.tencent.tinker.build.decoder; from: com.tencent.tinker.commons.dexpatcher.algorithms.patch to: com.tencent.tinker.android.dex; from: com.tencent.tinker.commons.dexpatcher.algorithms.patch to: com.tencent.tinker.commons.dexpatcher.struct; from: com.tencent.tinker.commons.dexpatcher.algorithms.patch to: com.tencent.tinker.commons.dexpatcher.util; from: com.tencent.tinker.commons.dexpatcher.algorithms.patch to: com.tencent.tinker.android.dex.io; from: com.tencent.tinker.commons.dexpatcher to: com.tencent.tinker.android.dex; from: com.tencent.tinker.commons.dexpatcher to: com.tencent.tinker.commons.dexpatcher.struct; from: com.tencent.tinker.commons.dexpatcher to: com.tencent.tinker.commons.dexpatcher.util; from: com.tencent.tinker.commons.dexpatcher to: com.tencent.tinker.commons.dexpatcher.algorithms.patch; from: com.tencent.tinker.commons.dexpatcher to: com.tencent.tinker.android.dex.util; from: com.tencent.tinker.commons.dexpatcher to: com.tencent.tinker.commons.util; from: com.tencent.tinker.commons.dexpatcher.struct to: com.tencent.tinker.android.dex.io; from: com.tencent.tinker.commons.dexpatcher.struct to: com.tencent.tinker.android.dex; from: com.tencent.tinker.commons.dexpatcher.struct to: com.tencent.tinker.android.dex.util; from: com.tencent.tinker.commons.dexpatcher.util to: com.tencent.tinker.android.dex.util; from: com.tencent.tinker.commons.dexpatcher.util to: com.tencent.tinker.android.dex; from: com.tencent.tinker.commons.dexpatcher.util to: com.tencent.tinker.android.dx.instruction; from: com.tencent.tinker.commons.dexpatcher.util to: com.tencent.tinker.android.utils; from: tinker.sample.android.app to: com.tencent.tinker.lib.tinker; from: tinker.sample.android.app to: com.tencent.tinker.loader.shareutil; from: tinker.sample.android.app to: com.tencent.tinker.lib.library; from: tinker.sample.android.app to: tinker.sample.android.util; from: tinker.sample.android.crash to: com.tencent.tinker.entry; from: tinker.sample.android.crash to: com.tencent.tinker.loader.shareutil; from: tinker.sample.android.crash to: com.tencent.tinker.lib.util; from: tinker.sample.android.crash to: tinker.sample.android.util; from: tinker.sample.android.crash to: com.tencent.tinker.lib.tinker; from: tinker.sample.android.crash to: tinker.sample.android.reporter; from: tinker.sample.android.Log to: com.tencent.tinker.lib.util; from: tinker.sample.android.reporter to: com.tencent.tinker.loader.shareutil; from: tinker.sample.android.reporter to: com.tencent.tinker.lib.util; from: tinker.sample.android.reporter to: tinker.sample.android.crash; from: tinker.sample.android.reporter to: tinker.sample.android.util; from: tinker.sample.android.reporter to: tinker.sample.android.app; from: tinker.sample.android.service to: com.tencent.tinker.lib.service; from: tinker.sample.android.service to: com.tencent.tinker.lib.util; from: tinker.sample.android.service to: tinker.sample.android.util; from: tinker.sample.android.util to: com.tencent.tinker.entry; from: tinker.sample.android.util to: tinker.sample.android.crash; from: tinker.sample.android.util to: com.tencent.tinker.lib.reporter; from: tinker.sample.android.util to: com.tencent.tinker.lib.listener; from: tinker.sample.android.util to: com.tencent.tinker.lib.patch; from: tinker.sample.android.util to: com.tencent.tinker.lib.util; from: tinker.sample.android.util to: com.tencent.tinker.lib.tinker; from: tinker.sample.android.util to: tinker.sample.android.service; from: tinker.sample.android.util to: com.tencent.tinker.loader.shareutil.
v1.9.14.12,c39c68d240190277f9d8c4157e01d59a69280d0c,Wed Mar 10 05:07:39 CET 2021,tinker,com.tencent.tinker.lib.patch,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.tencent.tinker.lib.patch; com.tencent.tinker.lib.service
v1.9.14.12,c39c68d240190277f9d8c4157e01d59a69280d0c,Wed Mar 10 05:07:39 CET 2021,tinker,com.tencent.tinker.lib.patch,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.tencent.tinker.lib.patch; com.tencent.tinker.lib.service; com.tencent.tinker.lib.tinker
v1.9.14.12,c39c68d240190277f9d8c4157e01d59a69280d0c,Wed Mar 10 05:07:39 CET 2021,tinker,com.tencent.tinker.lib.patch,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.tencent.tinker.loader
v1.9.14.12,c39c68d240190277f9d8c4157e01d59a69280d0c,Wed Mar 10 05:07:39 CET 2021,tinker,com.tencent.tinker.lib.patch,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [AbstractPatch; UpgradePatch; UpgradePatch; ArkHotDiffPatchInternal; BasePatchInternal; BsDiffPatchInternal; DexDiffPatchInternal; ResDiffPatchInternal]; [ApplicationTest]; [AbstractPatch]. LCC (Lack of Component Cohesion) = 0.36
v1.9.14.12,c39c68d240190277f9d8c4157e01d59a69280d0c,Wed Mar 10 05:07:39 CET 2021,tinker,com.tencent.tinker.entry,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationLifeCycle; ApplicationLike; DefaultApplicationLike; TinkerApplicationInlineFence; ApplicationLike; DefaultApplicationLike]; [ApplicationLifeCycle]. LCC (Lack of Component Cohesion) = 0.29
v1.9.14.12,c39c68d240190277f9d8c4157e01d59a69280d0c,Wed Mar 10 05:07:39 CET 2021,tinker,com.tencent.tinker.lib.library,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TinkerLoadLibrary; V4; V14; V23; V25]; [TinkerLoadLibrary]. LCC (Lack of Component Cohesion) = 0.33
v1.9.14.12,c39c68d240190277f9d8c4157e01d59a69280d0c,Wed Mar 10 05:07:39 CET 2021,tinker,com.tencent.tinker.lib.listener,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.tencent.tinker.lib.listener; com.tencent.tinker.lib.tinker
v1.9.14.12,c39c68d240190277f9d8c4157e01d59a69280d0c,Wed Mar 10 05:07:39 CET 2021,tinker,com.tencent.tinker.lib.listener,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.tencent.tinker.lib.listener; com.tencent.tinker.lib.service; com.tencent.tinker.lib.tinker
v1.9.14.12,c39c68d240190277f9d8c4157e01d59a69280d0c,Wed Mar 10 05:07:39 CET 2021,tinker,com.tencent.tinker.lib.reporter,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.tencent.tinker.lib.reporter; com.tencent.tinker.lib.tinker
v1.9.14.12,c39c68d240190277f9d8c4157e01d59a69280d0c,Wed Mar 10 05:07:39 CET 2021,tinker,com.tencent.tinker.lib.reporter,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.tencent.tinker.lib.reporter; com.tencent.tinker.lib.util; com.tencent.tinker.lib.tinker
v1.9.14.12,c39c68d240190277f9d8c4157e01d59a69280d0c,Wed Mar 10 05:07:39 CET 2021,tinker,com.tencent.tinker.lib.reporter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DefaultLoadReporter; LoadReporter; DefaultLoadReporter]; [DefaultPatchReporter; PatchReporter; DefaultPatchReporter]; [LoadReporter]; [PatchReporter]. LCC (Lack of Component Cohesion) = 0.5
